FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Loto;26/11/2024;112;0,0%;977,20 €;977,20 €
MONETIQUE 0 %;26/11/2024;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;26/11/2024;55;20,0%;97,50 €;81,30 €
Tabac;26/11/2024;300;0,0%;3 893,90 €;3 893,90 €
Timbres poste;26/11/2024;5;0,0%;6,45 €;6,45 €
Accessoires fumeurs;27/11/2024;8;20,0%;20,10 €;16,74 €
Articles Divers Logista 20%;27/11/2024;9;20,0%;69,43 €;57,86 €
Bar 10%;27/11/2024;170;10,0%;241,10 €;219,03 €
Bar 20%;27/11/2024;161;20,0%;400,80 €;333,99 €
Boissons à emporter;27/11/2024;9;5,5%;21,50 €;20,38 €
Briquets;27/11/2024;2;20,0%;3,70 €;3,09 €
Chewing Gum;27/11/2024;2;20,0%;6,00 €;5,00 €
Confiserie 20%;27/11/2024;2;20,0%;3,40 €;2,84 €
Confiserie 5,5%;27/11/2024;5;5,5%;9,40 €;8,91 €
Jeux instantanés;27/11/2024;254;0,0%;1 014,00 €;1 014,00 €
Loto;27/11/2024;83;0,0%;761,20 €;761,20 €
MONETIQUE 0 %;27/11/2024;2;0,0%;20,00 €;20,00 €
Papier tubes et filtres;27/11/2024;41;20,0%;77,70 €;64,75 €
Tabac;27/11/2024;295;0,0%;3 999,00 €;3 999,00 €
Timbres poste;27/11/2024;1;0,0%;1,29 €;1,29 €
 paiement proximite;28/11/2024;1;0,0%;64,00 €;64,00 €
Accessoires fumeurs;28/11/2024;6;20,0%;13,30 €;11,10 €
Articles Divers Logista 20%;28/11/2024;8;20,0%;63,42 €;52,86 €
Bar 10%;28/11/2024;153;10,0%;207,80 €;188,73 €
Bar 20%;28/11/2024;169;20,0%;395,50 €;329,55 €
Boissons à emporter;28/11/2024;5;5,5%;12,50 €;11,85 €
Briquets;28/11/2024;2;20,0%;3,40 €;2,84 €
Chewing Gum;28/11/2024;1;20,0%;1,50 €;1,25 €
Confiserie 20%;28/11/2024;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;28/11/2024;8;5,5%;16,00 €;15,18 €
Jeux instantanés;28/11/2024;346;0,0%;1 426,00 €;1 426,00 €
Loto;28/11/2024;94;0,0%;853,90 €;853,90 €
MONETIQUE 0 %;28/11/2024;8;0,0%;744,00 €;744,00 €
Papier tubes et filtres;28/11/2024;42;20,0%;70,50 €;58,77 €
Tabac;28/11/2024;375;0,0%;5 105,15 €;5 105,15 €
Timbres poste;28/11/2024;5;0,0%;6,45 €;6,45 €
Accessoires fumeurs;29/11/2024;10;20,0%;23,40 €;19,51 €
Articles Divers Logista 20%;29/11/2024;14;20,0%;120,20 €;100,19 €
Bar 10%;29/11/2024;185;10,0%;276,30 €;251,04 €
Bar 20%;29/11/2024;224;20,0%;562,30 €;468,63 €
Boissons à emporter;29/11/2024;2;5,5%;5,00 €;4,74 €
Briquets;29/11/2024;4;20,0%;7,70 €;6,43 €
Chewing Gum;29/11/2024;5;20,0%;12,00 €;10,00 €
Cigarettes Electroniques;29/11/2024;4;20,0%;19,20 €;16,00 €
Confiserie 20%;29/11/2024;6;20,0%;10,20 €;8,51 €
Confiserie 5,5%;29/11/2024;9;5,5%;16,10 €;15,26 €
Jeux instantanés;29/11/2024;185;0,0%;674,00 €;674,00 €
Loto;29/11/2024;17;0,0%;102,70 €;102,70 €
MONETIQUE 0 %;29/11/2024;2;0,0%;200,00 €;200,00 €
Papier tubes et filtres;29/11/2024;48;20,0%;87,00 €;72,51 €
Tabac;29/11/2024;432;0,0%;5 631,25 €;5 631,25 €
TELEPHONIE 20.00 %;29/11/2024;1;20,0%;10,00 €;8,33 €
Timbres poste;29/11/2024;4;0,0%;33,54 €;33,54 €
 paiement proximite;30/11/2024;1;0,0%;22,00 €;22,00 €
Accessoires fumeurs;30/11/2024;16;20,0%;45,40 €;37,81 €
Articles Divers Logista 20%;30/11/2024;10;20,0%;70,92 €;59,11 €
Articles Divers Logista 5,5%;30/11/2024;2;5,5%;3,60 €;3,41 €
Bar 10%;30/11/2024;116;10,0%;172,90 €;157,05 €
Bar 20%;30/11/2024;193;20,0%;483,20 €;402,65 €
Boissons à emporter;30/11/2024;3;5,5%;7,50 €;7,11 €
Briquets;30/11/2024;3;20,0%;5,70 €;4,76 €
Chewing Gum;30/11/2024;1;20,0%;1,50 €;1,25 €
Confiserie 5,5%;30/11/2024;12;5,5%;22,10 €;20,96 €
Jeux instantanés;30/11/2024;429;0,0%;1 982,00 €;1 982,00 €
Loto;30/11/2024;121;0,0%;949,60 €;949,60 €
MONETIQUE 0 %;30/11/2024;3;0,0%;137,00 €;137,00 €
Papier tubes et filtres;30/11/2024;57;20,0%;100,40 €;83,71 €
Tabac;30/11/2024;391;0,0%;5 297,95 €;5 297,95 €
Timbres poste;30/11/2024;1;0,0%;1,29 €;1,29 €
Accessoires fumeurs;1/12/2024;8;20,0%;24,30 €;20,25 €
Articles Divers Logista 20%;1/12/2024;1;20,0%;16,40 €;13,67 €
Bar 10%;1/12/2024;85;10,0%;122,70 €;111,48 €
Bar 20%;1/12/2024;178;20,0%;429,80 €;358,14 €
Boissons à emporter;1/12/2024;6;5,5%;15,00 €;14,22 €
Briquets;1/12/2024;2;20,0%;3,40 €;2,84 €
Confiserie 20%;1/12/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;1/12/2024;4;5,5%;7,10 €;6,73 €
Jeux instantanés;1/12/2024;328;0,0%;1 409,00 €;1 409,00 €
Loto;1/12/2024;71;0,0%;716,40 €;716,40 €
MONETIQUE 0 %;1/12/2024;3;0,0%;260,00 €;260,00 €
Papier tubes et filtres;1/12/2024;22;20,0%;37,00 €;30,86 €
Tabac;1/12/2024;261;0,0%;3 485,15 €;3 485,15 €
Timbres poste;1/12/2024;3;0,0%;3,87 €;3,87 €
 paiement proximite;2/12/2024;1;0,0%;110,59 €;110,59 €
Accessoires fumeurs;2/12/2024;6;20,0%;14,10 €;11,75 €
Articles Divers Logista 20%;2/12/2024;8;20,0%;41,56 €;34,64 €
Bar 10%;2/12/2024;123;10,0%;205,60 €;186,81 €
Bar 20%;2/12/2024;117;20,0%;299,50 €;249,60 €
Boissons à emporter;2/12/2024;1;5,5%;2,50 €;2,37 €
Briquets;2/12/2024;1;20,0%;2,00 €;1,67 €
Chewing Gum;2/12/2024;3;20,0%;7,50 €;6,25 €
Confiserie 20%;2/12/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;2/12/2024;4;5,5%;7,90 €;7,48 €
E-BUSINESS 0 %;2/12/2024;1;0,0%;50,00 €;50,00 €
Jeux instantanés;2/12/2024;394;0,0%;1 454,00 €;1 454,00 €
Loto;2/12/2024;88;0,0%;995,50 €;995,50 €
MONETIQUE 0 %;2/12/2024;2;0,0%;170,00 €;170,00 €
Papier tubes et filtres;2/12/2024;47;20,0%;79,50 €;66,26 €
Tabac;2/12/2024;403;0,0%;5 414,70 €;5 414,70 €
TELEPHONIE 20.00 %;2/12/2024;2;20,0%;34,98 €;29,15 €
Timbres poste;2/12/2024;5;0,0%;6,45 €;6,45 €
 paiement proximite;3/12/2024;1;0,0%;22,00 €;22,00 €
Accessoires fumeurs;3/12/2024;17;20,0%;42,50 €;35,41 €
Articles Divers Logista 20%;3/12/2024;22;20,0%;172,79 €;144,02 €
Bar 10%;3/12/2024;98;10,0%;146,20 €;132,83 €
Bar 20%;3/12/2024;128;20,0%;355,00 €;295,84 €
Boissons à emporter;3/12/2024;1;5,5%;2,50 €;2,37 €
Briquets;3/12/2024;7;20,0%;11,90 €;9,94 €
Chewing Gum;3/12/2024;1;20,0%;1,50 €;1,25 €
Confiserie 5,5%;3/12/2024;3;5,5%;6,00 €;5,70 €
Jeux instantanés;3/12/2024;285;0,0%;1 109,00 €;1 109,00 €
Loto;3/12/2024;88;0,0%;1 237,40 €;1 237,40 €
MONETIQUE 0 %;3/12/2024;2;0,0%;20,00 €;20,00 €
Papier tubes et filtres;3/12/2024;51;20,0%;104,90 €;87,45 €
Tabac;3/12/2024;363;0,0%;5 043,85 €;5 043,85 €
TELEPHONIE 20.00 %;3/12/2024;1;20,0%;20,00 €;16,67 €
Timbres poste;3/12/2024;4;0,0%;19,35 €;19,35 €
Accessoires fumeurs;4/12/2024;16;20,0%;42,70 €;35,58 €
Articles Divers Logista 20%;4/12/2024;17;20,0%;143,09 €;119,26 €
Bar 10%;4/12/2024;153;10,0%;220,90 €;200,64 €
Bar 20%;4/12/2024;150;20,0%;365,40 €;304,47 €
Boissons à emporter;4/12/2024;2;5,5%;5,00 €;4,74 €
Briquets;4/12/2024;2;20,0%;3,70 €;3,09 €
Chewing Gum;4/12/2024;1;20,0%;1,30 €;1,08 €
Confiserie 20%;4/12/2024;5;20,0%;8,10 €;6,75 €
Confiserie 5,5%;4/12/2024;3;5,5%;5,70 €;5,40 €
Jeux instantanés;4/12/2024;323;0,0%;1 357,00 €;1 357,00 €
Loto;4/12/2024;74;0,0%;713,20 €;713,20 €
MONETIQUE 0 %;4/12/2024;6;0,0%;366,00 €;366,00 €
Papier tubes et filtres;4/12/2024;41;20,0%;74,20 €;61,83 €
Tabac;4/12/2024;365;0,0%;4 710,40 €;4 710,40 €
Timbres poste;4/12/2024;14;0,0%;89,01 €;89,01 €
 paiement proximite;5/12/2024;1;0,0%;157,45 €;157,45 €
Accessoires fumeurs;5/12/2024;11;20,0%;31,00 €;25,84 €
Articles Divers Logista 20%;5/12/2024;13;20,0%;106,28 €;88,58 €
Bar 10%;5/12/2024;143;10,0%;223,10 €;202,65 €
Bar 20%;5/12/2024;180;20,0%;461,90 €;384,93 €
Boissons à emporter;5/12/2024;3;5,5%;7,50 €;7,11 €
Briquets;5/12/2024;5;20,0%;8,80 €;7,35 €
Chewing Gum;5/12/2024;4;20,0%;5,80 €;4,83 €
Confiserie 5,5%;5/12/2024;5;5,5%;7,40 €;7,02 €
Jeux instantanés;5/12/2024;504;0,0%;1 910,00 €;1 910,00 €
Loto;5/12/2024;94;0,0%;1 129,60 €;1 129,60 €
MONETIQUE 0 %;5/12/2024;3;0,0%;167,00 €;167,00 €
Papier tubes et filtres;5/12/2024;51;20,0%;85,10 €;70,95 €
Tabac;5/12/2024;379;0,0%;4 875,90 €;4 875,90 €
TELEPHONIE 20.00 %;5/12/2024;2;20,0%;25,00 €;20,84 €
Timbres poste;5/12/2024;9;0,0%;11,61 €;11,61 €
 paiement proximite;6/12/2024;3;0,0%;186,79 €;186,79 €
Accessoires fumeurs;6/12/2024;20;20,0%;52,70 €;43,91 €
Articles Divers Logista 20%;6/12/2024;11;20,0%;108,63 €;90,54 €
Bar 10%;6/12/2024;174;10,0%;273,10 €;248,12 €
Bar 20%;6/12/2024;213;20,0%;538,70 €;448,90 €
Briquets;6/12/2024;7;20,0%;13,10 €;10,93 €
Chewing Gum;6/12/2024;4;20,0%;7,50 €;6,25 €
Chocolat 5,5%;6/12/2024;1;5,5%;2,80 €;2,65 €
Confiserie 20%;6/12/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;6/12/2024;6;5,5%;10,90 €;10,34 €
Jeux instantanés;6/12/2024;364;0,0%;1 334,00 €;1 334,00 €
Loto;6/12/2024;115;0,0%;1 264,70 €;1 264,70 €
MONETIQUE 0 %;6/12/2024;7;0,0%;1 550,00 €;1 550,00 €
Papier tubes et filtres;6/12/2024;40;20,0%;69,10 €;57,60 €
Tabac;6/12/2024;412;0,0%;5 447,70 €;5 447,70 €
Timbres poste;6/12/2024;6;0,0%;92,88 €;92,88 €
Accessoires fumeurs;7/12/2024;12;20,0%;34,90 €;29,09 €
Articles Divers Logista 20%;7/12/2024;14;20,0%;103,31 €;86,09 €
Bar 10%;7/12/2024;107;10,0%;162,50 €;147,62 €
Bar 20%;7/12/2024;132;20,0%;381,20 €;317,61 €
Boissons à emporter;7/12/2024;1;5,5%;2,50 €;2,37 €
Briquets;7/12/2024;5;20,0%;8,80 €;7,35 €
Chewing Gum;7/12/2024;1;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;7/12/2024;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;7/12/2024;3;5,5%;6,40 €;6,07 €
Jeux instantanés;7/12/2024;354;0,0%;1 249,00 €;1 249,00 €
Loto;7/12/2024;93;0,0%;783,90 €;783,90 €
MONETIQUE 0 %;7/12/2024;1;0,0%;50,00 €;50,00 €
Papier tubes et filtres;7/12/2024;46;20,0%;84,10 €;70,10 €
Tabac;7/12/2024;478;0,0%;6 464,75 €;6 464,75 €
Accessoires fumeurs;8/12/2024;8;20,0%;28,20 €;23,51 €
Articles Divers Logista 20%;8/12/2024;5;20,0%;38,45 €;32,05 €
Bar 10%;8/12/2024;81;10,0%;133,40 €;121,23 €
Bar 20%;8/12/2024;147;20,0%;317,70 €;264,71 €
Boissons à emporter;8/12/2024;5;5,5%;12,50 €;11,85 €
Briquets;8/12/2024;3;20,0%;5,70 €;4,76 €
Chewing Gum;8/12/2024;2;20,0%;2,80 €;2,33 €
Cigarettes Electroniques;8/12/2024;1;20,0%;4,80 €;4,00 €
Confiserie 20%;8/12/2024;5;20,0%;8,50 €;7,09 €
Confiserie 5,5%;8/12/2024;7;5,5%;12,50 €;11,85 €
Jeux instantanés;8/12/2024;378;0,0%;1 512,00 €;1 512,00 €
Loto;8/12/2024;105;0,0%;956,90 €;956,90 €
MONETIQUE 0 %;8/12/2024;1;0,0%;25,00 €;25,00 €
Papier tubes et filtres;8/12/2024;30;20,0%;55,60 €;46,35 €
Tabac;8/12/2024;266;0,0%;3 703,80 €;3 703,80 €
TELEPHONIE 20.00 %;8/12/2024;1;20,0%;20,00 €;16,67 €
 paiement proximite;9/12/2024;1;0,0%;45,00 €;45,00 €
Accessoires fumeurs;9/12/2024;6;20,0%;11,60 €;9,67 €
Articles Divers Logista 20%;9/12/2024;2;20,0%;16,98 €;14,16 €
Bar 10%;9/12/2024;87;10,0%;169,10 €;153,67 €
Bar 20%;9/12/2024;155;20,0%;393,00 €;327,46 €
Briquets;9/12/2024;5;20,0%;8,80 €;7,34 €
Chewing Gum;9/12/2024;2;20,0%;6,00 €;5,00 €
Confiserie 5,5%;9/12/2024;7;5,5%;14,30 €;13,56 €
Jeux instantanés;9/12/2024;362;0,0%;1 747,00 €;1 747,00 €
Loto;9/12/2024;95;0,0%;918,80 €;918,80 €
MONETIQUE 0 %;9/12/2024;4;0,0%;799,00 €;799,00 €
Papier tubes et filtres;9/12/2024;47;20,0%;87,20 €;72,70 €
Tabac;9/12/2024;377;0,0%;5 083,70 €;5 083,70 €
Timbres poste;9/12/2024;12;0,0%;29,67 €;29,67 €
 paiement proximite;10/12/2024;2;0,0%;57,00 €;57,00 €
Accessoires fumeurs;10/12/2024;7;20,0%;23,30 €;19,41 €
Articles Divers Logista 20%;10/12/2024;19;20,0%;150,32 €;125,28 €
Bar 10%;10/12/2024;122;10,0%;196,00 €;178,11 €
Bar 20%;10/12/2024;169;20,0%;490,70 €;408,92 €
Boissons à emporter;10/12/2024;1;5,5%;2,50 €;2,37 €
Briquets;10/12/2024;4;20,0%;6,80 €;5,68 €
Chewing Gum;10/12/2024;2;20,0%;4,50 €;3,75 €
Chocolat 5,5%;10/12/2024;1;5,5%;2,80 €;2,65 €
Cigarettes Electroniques;10/12/2024;3;20,0%;14,40 €;12,00 €
Confiserie 20%;10/12/2024;5;20,0%;7,70 €;6,42 €
Confiserie 5,5%;10/12/2024;2;5,5%;4,30 €;4,07 €
Jeux instantanés;10/12/2024;377;0,0%;1 541,00 €;1 541,00 €
Loto;10/12/2024;109;0,0%;1 315,40 €;1 315,40 €
MONETIQUE 0 %;10/12/2024;5;0,0%;601,00 €;601,00 €
Papier tubes et filtres;10/12/2024;28;20,0%;48,10 €;40,11 €
Tabac;10/12/2024;370;0,0%;5 024,50 €;5 024,50 €
Timbres poste;10/12/2024;3;0,0%;32,25 €;32,25 €
Accessoires fumeurs;11/12/2024;10;20,0%;22,30 €;18,58 €
Articles Divers Logista 20%;11/12/2024;19;20,0%;118,13 €;98,46 €
Bar 10%;11/12/2024;142;10,0%;211,60 €;192,26 €
Bar 20%;11/12/2024;145;20,0%;359,90 €;299,88 €
Boissons à emporter;11/12/2024;4;5,5%;10,00 €;9,48 €
Briquets;11/12/2024;4;20,0%;6,80 €;5,67 €
Chewing Gum;11/12/2024;8;20,0%;14,60 €;12,16 €
Confiserie 20%;11/12/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;11/12/2024;5;5,5%;9,40 €;8,92 €
Jeux instantanés;11/12/2024;497;0,0%;2 104,00 €;2 104,00 €
Loto;11/12/2024;102;0,0%;1 400,70 €;1 400,70 €
MONETIQUE 0 %;11/12/2024;1;0,0%;30,00 €;30,00 €
Papier tubes et filtres;11/12/2024;45;20,0%;70,90 €;59,10 €
Tabac;11/12/2024;343;0,0%;4 433,20 €;4 433,20 €
 paiement proximite;12/12/2024;2;0,0%;279,30 €;279,30 €
Accessoires fumeurs;12/12/2024;9;20,0%;25,70 €;21,42 €
Articles Divers Logista 20%;12/12/2024;7;20,0%;50,44 €;42,05 €
Bar 10%;12/12/2024;175;10,0%;255,80 €;232,39 €
Bar 20%;12/12/2024;200;20,0%;516,30 €;430,19 €
Boissons à emporter;12/12/2024;1;5,5%;2,50 €;2,37 €
Briquets;12/12/2024;5;20,0%;9,10 €;7,60 €
Chewing Gum;12/12/2024;3;20,0%;6,00 €;5,00 €
Confiserie 20%;12/12/2024;4;20,0%;6,80 €;5,67 €
Confiserie 5,5%;12/12/2024;2;5,5%;3,70 €;3,51 €
Jeux instantanés;12/12/2024;341;0,0%;1 474,00 €;1 474,00 €
Loto;12/12/2024;121;0,0%;1 633,40 €;1 633,40 €
MONETIQUE 0 %;12/12/2024;8;0,0%;573,00 €;573,00 €
Papier tubes et filtres;12/12/2024;31;20,0%;55,40 €;46,17 €
Tabac;12/12/2024;395;0,0%;5 058,00 €;5 058,00 €
Timbres poste;12/12/2024;1;0,0%;1,29 €;1,29 €
 paiement proximite;13/12/2024;2;0,0%;145,05 €;145,05 €
Accessoires fumeurs;13/12/2024;7;20,0%;17,20 €;14,34 €
Articles Divers Logista 20%;13/12/2024;5;20,0%;44,86 €;37,39 €
Articles Divers Logista 5,5%;13/12/2024;1;5,5%;1,80 €;1,71 €
Bar 10%;13/12/2024;166;10,0%;254,40 €;231,11 €
Bar 20%;13/12/2024;195;20,0%;542,20 €;451,80 €
Boissons à emporter;13/12/2024;1;5,5%;2,50 €;2,37 €
Briquets;13/12/2024;8;20,0%;13,90 €;11,60 €
Confiserie 20%;13/12/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;13/12/2024;11;5,5%;21,20 €;20,10 €
Jeux instantanés;13/12/2024;743;0,0%;2 986,00 €;2 986,00 €
Loto;13/12/2024;250;0,0%;2 522,60 €;2 522,60 €
MONETIQUE 0 %;13/12/2024;4;0,0%;160,00 €;160,00 €
Papier tubes et filtres;13/12/2024;47;20,0%;87,40 €;72,83 €
Tabac;13/12/2024;450;0,0%;5 948,25 €;5 948,25 €
Timbres poste;13/12/2024;6;0,0%;50,31 €;50,31 €
 paiement proximite;14/12/2024;2;0,0%;140,49 €;140,49 €
Accessoires fumeurs;14/12/2024;10;20,0%;27,10 €;22,57 €
Articles Divers Logista 20%;14/12/2024;23;20,0%;203,23 €;169,37 €
Bar 10%;14/12/2024;102;10,0%;176,50 €;160,38 €
Bar 20%;14/12/2024;254;20,0%;636,20 €;530,11 €
Boissons à emporter;14/12/2024;10;5,5%;24,00 €;22,75 €
Briquets;14/12/2024;7;20,0%;12,50 €;10,42 €
Chewing Gum;14/12/2024;3;20,0%;6,00 €;5,00 €
Cigarettes Electroniques;14/12/2024;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;14/12/2024;4;5,5%;5,30 €;5,02 €
Jeux instantanés;14/12/2024;367;0,0%;1 474,00 €;1 474,00 €
Loto;14/12/2024;129;0,0%;1 344,30 €;1 344,30 €
MONETIQUE 0 %;14/12/2024;3;0,0%;150,00 €;150,00 €
Papier tubes et filtres;14/12/2024;43;20,0%;84,30 €;70,24 €
Tabac;14/12/2024;470;0,0%;6 297,95 €;6 297,95 €
Timbres poste;14/12/2024;1;0,0%;1,29 €;1,29 €
Accessoires fumeurs;15/12/2024;10;20,0%;29,40 €;24,50 €
Articles Divers Logista 20%;15/12/2024;7;20,0%;43,47 €;36,22 €
Bar 10%;15/12/2024;97;10,0%;144,60 €;131,38 €
Bar 20%;15/12/2024;152;20,0%;426,40 €;355,31 €
Boissons à emporter;15/12/2024;9;5,5%;21,50 €;20,38 €
Briquets;15/12/2024;2;20,0%;3,70 €;3,09 €
Cigarettes Electroniques;15/12/2024;4;20,0%;19,20 €;16,00 €
Confiserie 20%;15/12/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;15/12/2024;8;5,5%;12,50 €;11,84 €
Jeux instantanés;15/12/2024;483;0,0%;2 275,00 €;2 275,00 €
Loto;15/12/2024;86;0,0%;1 278,30 €;1 278,30 €
MONETIQUE 0 %;15/12/2024;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;15/12/2024;25;20,0%;46,00 €;38,35 €
Tabac;15/12/2024;255;0,0%;3 415,85 €;3 415,85 €
Timbres poste;15/12/2024;1;0,0%;1,29 €;1,29 €
Accessoires fumeurs;16/12/2024;11;20,0%;25,40 €;21,18 €
Articles Divers Logista 20%;16/12/2024;12;20,0%;74,49 €;62,09 €
Bar 10%;16/12/2024;128;10,0%;191,00 €;173,48 €
Bar 20%;16/12/2024;167;20,0%;427,80 €;356,55 €
Boissons à emporter;16/12/2024;2;5,5%;5,00 €;4,74 €
Briquets;16/12/2024;8;20,0%;14,20 €;11,85 €
Chewing Gum;16/12/2024;5;20,0%;10,50 €;8,75 €
Cigarettes Electroniques;16/12/2024;3;20,0%;14,40 €;12,00 €
Confiserie 20%;16/12/2024;2;20,0%;3,40 €;2,83 €
Confiserie 5,5%;16/12/2024;3;5,5%;6,00 €;5,70 €
Jeux instantanés;16/12/2024;390;0,0%;1 678,00 €;1 678,00 €
Loto;16/12/2024;94;0,0%;1 082,40 €;1 082,40 €
MONETIQUE 0 %;16/12/2024;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;16/12/2024;51;20,0%;88,90 €;74,12 €
Tabac;16/12/2024;394;0,0%;5 209,05 €;5 209,05 €
Timbres poste;16/12/2024;2;0,0%;2,58 €;2,58 €
 paiement proximite;17/12/2024;4;0,0%;99,12 €;99,12 €
Accessoires fumeurs;17/12/2024;11;20,0%;38,40 €;32,01 €
Articles Divers Logista 20%;17/12/2024;9;20,0%;77,23 €;64,36 €
Bar 10%;17/12/2024;105;10,0%;192,20 €;174,66 €
Bar 20%;17/12/2024;186;20,0%;472,70 €;393,96 €
Boissons à emporter;17/12/2024;2;5,5%;5,00 €;4,74 €
Briquets;17/12/2024;2;20,0%;3,40 €;2,84 €
Chewing Gum;17/12/2024;2;20,0%;4,50 €;3,75 €
Cigarettes Electroniques;17/12/2024;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;17/12/2024;2;5,5%;4,50 €;4,26 €
Jeux instantanés;17/12/2024;496;0,0%;2 166,00 €;2 166,00 €
Loto;17/12/2024;81;0,0%;985,40 €;985,40 €
MONETIQUE 0 %;17/12/2024;2;0,0%;79,00 €;79,00 €
Papier tubes et filtres;17/12/2024;52;20,0%;91,90 €;76,58 €
Tabac;17/12/2024;342;0,0%;4 507,35 €;4 507,35 €
Timbres poste;17/12/2024;3;0,0%;18,06 €;18,06 €
 paiement proximite;18/12/2024;1;0,0%;240,00 €;240,00 €
Accessoires fumeurs;18/12/2024;15;20,0%;39,20 €;32,66 €
Articles Divers Logista 20%;18/12/2024;21;20,0%;157,35 €;131,13 €
Bar 10%;18/12/2024;171;10,0%;262,50 €;238,48 €
Bar 20%;18/12/2024;221;20,0%;544,40 €;453,68 €
Boissons à emporter;18/12/2024;1;5,5%;2,50 €;2,37 €
Briquets;18/12/2024;3;20,0%;5,70 €;4,76 €
Chewing Gum;18/12/2024;3;20,0%;6,00 €;5,00 €
Confiserie 20%;18/12/2024;4;20,0%;6,00 €;5,00 €
Confiserie 5,5%;18/12/2024;2;5,5%;4,70 €;4,45 €
E-BUSINESS 0 %;18/12/2024;1;0,0%;20,00 €;20,00 €
Jeux instantanés;18/12/2024;335;0,0%;1 325,00 €;1 325,00 €
Loto;18/12/2024;75;0,0%;972,20 €;972,20 €
MONETIQUE 0 %;18/12/2024;2;0,0%;170,00 €;170,00 €
Papier tubes et filtres;18/12/2024;24;20,0%;43,00 €;35,85 €
Tabac;18/12/2024;404;0,0%;5 372,75 €;5 372,75 €
Timbres poste;18/12/2024;10;0,0%;12,90 €;12,90 €
Accessoires fumeurs;19/12/2024;9;20,0%;21,10 €;17,60 €
Articles Divers Logista 20%;19/12/2024;6;20,0%;45,45 €;37,89 €
Bar 10%;19/12/2024;173;10,0%;257,50 €;233,92 €
Bar 20%;19/12/2024;188;20,0%;466,20 €;388,46 €
Boissons à emporter;19/12/2024;2;5,5%;5,00 €;4,74 €
Briquets;19/12/2024;3;20,0%;5,10 €;4,25 €
Chewing Gum;19/12/2024;3;20,0%;4,50 €;3,75 €
Confiserie 5,5%;19/12/2024;2;5,5%;4,80 €;4,55 €
Jeux instantanés;19/12/2024;355;0,0%;1 514,00 €;1 514,00 €
Loto;19/12/2024;84;0,0%;1 038,10 €;1 038,10 €
MONETIQUE 0 %;19/12/2024;2;0,0%;157,00 €;157,00 €
Papier tubes et filtres;19/12/2024;62;20,0%;111,80 €;93,19 €
Tabac;19/12/2024;391;0,0%;5 188,80 €;5 188,80 €
TELEPHONIE 20.00 %;19/12/2024;1;20,0%;9,99 €;8,33 €
Timbres poste;19/12/2024;10;0,0%;12,90 €;12,90 €
Accessoires fumeurs;20/12/2024;8;20,0%;21,50 €;17,92 €
Articles Divers Logista 20%;20/12/2024;34;20,0%;280,01 €;233,36 €
Bar 10%;20/12/2024;171;10,0%;242,00 €;219,82 €
Bar 20%;20/12/2024;248;20,0%;613,50 €;511,22 €
Boissons à emporter;20/12/2024;3;5,5%;7,50 €;7,11 €
Briquets;20/12/2024;4;20,0%;7,40 €;6,18 €
Chewing Gum;20/12/2024;8;20,0%;13,10 €;10,91 €
Cigarettes Electroniques;20/12/2024;3;20,0%;14,40 €;12,00 €
Confiserie 20%;20/12/2024;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;20/12/2024;2;5,5%;2,10 €;1,99 €
Jeux instantanés;20/12/2024;287;0,0%;1 267,00 €;1 267,00 €
Loto;20/12/2024;75;0,0%;747,90 €;747,90 €
MONETIQUE 0 %;20/12/2024;1;0,0%;21,50 €;21,50 €
Papier tubes et filtres;20/12/2024;52;20,0%;95,40 €;79,49 €
Tabac;20/12/2024;449;0,0%;5 956,40 €;5 956,40 €
TELEPHONIE 20.00 %;20/12/2024;1;20,0%;4,99 €;4,16 €
Timbres poste;20/12/2024;2;0,0%;16,77 €;16,77 €
Accessoires fumeurs;21/12/2024;8;20,0%;17,70 €;14,74 €
Articles Divers Logista 20%;21/12/2024;27;20,0%;170,55 €;142,16 €
Bar 10%;21/12/2024;124;10,0%;200,60 €;182,24 €
Bar 20%;21/12/2024;144;20,0%;368,50 €;307,04 €
Boissons à emporter;21/12/2024;4;5,5%;10,00 €;9,48 €
Briquets;21/12/2024;5;20,0%;9,40 €;7,85 €
Chewing Gum;21/12/2024;4;20,0%;9,00 €;7,50 €
Confiserie 20%;21/12/2024;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;21/12/2024;3;5,5%;5,00 €;4,74 €
Jeux instantanés;21/12/2024;481;0,0%;2 331,00 €;2 331,00 €
